id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType,qNone_PassEndY,qNone_Length,qNone_PassEndX,qNone_Angle,qNone_Zone,qNone_Longball,qNone_Defensive,qNone_OppositeRelatedEvent,qNone_Offensive,qNone_Chipped,qNone_LeftFoot,qNone_Cross,qNone_Head,qNone_MissLeft,qNone_MissRight,qNone_CornerTaken,qNone_RightFoot,qNone_ThrowIn,qNone_OverRun,qNone_LayOff,qNone_GoalKick,qNone_PlayerCaughtOffside,qNone_FreekickTaken,qNone_IndirectFreekickTaken,qNone_Foul,qNone_HeadPass,qNone_MissHigh,qNone_StandingSave,qNone_IntentionalAssist,qNone_ShotAssist,qNone_BigChanceCreated,qNone_KeyPass,qNone_GoalMouthY,qNone_BoxCentre,qNone_FirstTouch,qNone_FromCorner,qNone_BigChance,qNone_RelatedEventId,qNone_Assisted,qNone_GoalMouthZ,qNone_KeeperThrow,qNone_SmallBoxCentre,qNone_RegularPlay,qNone_Blocked,qNone_BlockedY,qNone_BlockedX,qNone_LowRight,qNone_OutfielderBlock,qNone_GoalDisallowed,qNone_LeadingToAttempt,qNone_OutOfBoxCentre,qNone_IndividualPlay,qNone_HighClaim,qNone_LowLeft,qNone_LowCentre,qNone_Volley,qNone_Throughball,qNone_IntentionalGoalAssist,qNone_BlockedCross,qNone_LeadingToGoal,qNone_FastBreak,qNone_BoxLeft,qNone_Yellow,qNone_HighCentre,qNone_SetPiece,qNone_ParriedSafe,qNone_Hands,qNone_KeeperSaveInTheBox,qNone_PlayerPosition,qNone_JerseyNumber,qNone_FormationSlot,qNone_InvolvedPlayers,qNone_TeamPlayerFormation,qNone_CaptainPlayerId,qNone_TeamFormation,qNone_DivingSave,qNone_HighRight,qNone_DirectFreekick,qNone_BoxRight,qNone_Collected
2835692257.00,17,2,49.00,161,32.30,3.10,2,FirstHalf,Pass,Unsuccessful,"[91, 118, 120, 29, 36, 37, 216, 218]",True,94042.00,44.00,8.80,,,,,,,,,,8.8,12.9,44.0,0.31,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691759.00,37,2,51.00,167,53.70,90.00,2,FirstHalf,BallRecovery,Successful,[93],False,422939.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691785.00,38,2,51.00,167,53.70,90.00,2,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 36, 38, 216, 218]",True,422939.00,64.80,88.20,,,,,,,,,,88.2,11.7,64.8,6.18,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691873.00,39,2,52.00,167,64.80,88.20,2,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 35, 37, 216, 218]",True,136741.00,63.90,98.30,,,,,,,,,,98.3,6.9,63.9,1.71,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691901.00,40,2,56.00,167,61.90,94.50,2,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 35, 38, 216, 218]",True,388098.00,51.10,93.00,,,,,,,,,,93.0,11.4,51.1,3.23,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691937.00,41,2,58.00,167,53.10,91.70,2,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 35, 38, 216, 218]",True,355401.00,52.30,66.40,,,,,,,,,,66.4,17.2,52.3,4.66,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835703581.00,11020,3,,161,62.40,33.00,3,FirstHalf,OffsideGiven,Unsuccessful,[61],False,333048.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835691981.00,42,3,2.00,167,54.00,60.70,3,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 36, 38, 216, 218]",True,444791.00,55.60,27.80,,,,,,,,,,27.8,22.4,55.6,4.79,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835692023.00,43,3,5.00,167,52.10,40.90,3,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 36, 38, 216, 218]",True,101374.00,56.80,15.00,,,,,,,,,,15.0,18.3,56.8,4.99,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835692065.00,44,3,8.00,167,62.50,12.20,3,FirstHalf,Pass,Successful,"[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,343382.00,73.80,4.50,,,,,,,,,,4.5,13.0,73.8,5.87,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
